,mean,median,sd,min,max,p
mass,,,,,,0.1764
Untrained(n=99),995.7333,949.6,278.259,503.3,1876.2,
Trained(n=108),956.15,862.45,296.8681,459,1786.7,
max length,,,,,,0.8371
Untrained(n=99),144.22343,143.5,17.07021,105.34,180.53,
Trained(n=108),143.58667,142.98,16.19444,111,180.23,
max width,,,,,,0.7582
Untrained(n=99),107.93232,107.28,18.729,69.34,153.75,
Trained(n=108),106.945,107.195,17.04665,69,156.63,
max thickness,,,,,,0.201
Untrained(n=99),72.36414,72.59,11.02869,40.86,103.6,
Trained(n=108),71.06889,69.415,12.51136,45.19,102.28,
edge angle,,,,,,0.1354
Untrained(n=99),67.10664,67.38014,10.98727,39.93554,96.64855,
Trained(n=108),69.65747,69.98404,10.47658,48.45549,100.07474,
