Subject,Condition,Highest_nBack,RPM,BEAST,Grip_Strength,nodule_number,Order,Used,Total_Cores_Used,Cores_Used,end_mass,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,start_mass,Proportion_Mass_Removed
7,0,4,9,0.3834,26.7,55,1,1,4, , ,109.08,78.54,77.22,72,1.85,63.32150219,594.3, 
7,0,4,9,0.3834,26.7,58, ,0,4, , ,117.19,99.57,76.88,93,2.5,79.61114218,905.9, 
7,0,4,9,0.3834,26.7,74,3,1,4, , ,154.76,148.59,72.97,76,2.56,80.95046305,1607.1, 
7,0,4,9,0.3834,26.7,77, ,0,4, , ,138.81,91.61,71.95,63,1.3,46.85738562,850, 
7,0,4,9,0.3834,26.7,81,4,1,4,4,620.1,153.72,99.99,83.22,90,2.68,83.55095479,1876.2,0.669491525
7,0,4,9,0.3834,26.7,88, ,0,4, , ,153.72,95.44,70.63,78,2,67.38013505,816, 
7,0,4,9,0.3834,26.7,114, ,0,4, , ,180.53,107.33,68.37,55,1.87,63.87332533,870.9, 
7,0,4,9,0.3834,26.7,118, ,0,4, , ,143.44,126.06,73.73,69,1.7,59.07756452,1137.7, 
8,0,4,8,0.5134,53,50,2,1,9, , ,141.73,88.27,72.14,85,1.86,63.59782565,791.1, 
8,0,4,8,0.5134,53,56,1,1,9, , ,115.8,79.99,64.65,92,2.98,89.61675207,894.8, 
8,0,4,8,0.5134,53,69,5,1,9, , ,127.46,91.1,85.12,85,2,67.38013505,1188.4, 
8,0,4,8,0.5134,53,75,4,1,9, , ,148.64,120.47,62.72,70,2.06,68.95217672,1264.2, 
8,0,4,8,0.5134,53,89,7,1,9, , ,172.8,89.55,74.59,73,2.3,74.95235912,1009.1, 
8,0,4,8,0.5134,53,90,9,1,9,9,128.9,136.55,100.47,63.14,64,1.75,60.51287433,692.7,0.813916558
8,0,4,8,0.5134,53,108,6,1,9, , ,144.26,120.63,88.77,82,2.8,86.05013198,1157.5, 
8,0,4,8,0.5134,53,125,8,1,9, , ,160.54,121.94,68.96,63,1.4,50.03378696,982.5, 
8,0,4,8,0.5134,53,146,3,1,9, , ,156.45,123.95,59.82,85,1.84,63.04435449,861.7, 
9,1,4,8, ,21.6,57,5,1,6, , ,115.55,98.72,75.02,84,2.6,81.82876644,804, 
9,1,4,8, ,21.6,61,6,1,6,6,57.7,130.23,106.12,70.04,70,2,67.38013505,716.1,0.919424661
9,1,4,8, ,21.6,72,2,1,6, , ,130.29,113.24,67.61,75,2.66,83.12467002,776.9, 
9,1,4,8, ,21.6,83, ,0,6, , ,159.86,144.13,68.3,69,2.6,81.82876644,1230.1, 
9,1,4,8, ,21.6,92,4,1,6, , ,139.28,87.95,68.01,65,1.4,50.03378696,822.8, 
9,1,4,8, ,21.6,99, ,0,6, , ,140.95,115.19,60.84,84,2.2,72.50767547,863.2, 
9,1,4,8, ,21.6,117, ,0,6, , ,139.16,100.65,98.79,83,2.2,72.50767547,1470.8, 
9,1,4,8, ,21.6,129,3,1,6, , ,156.86,114.34,82.58,61,1.6,56.14497387,1473.3, 
9,1,4,8, ,21.6,154,1,1,6, , ,151.74,111.23,67.41,52,2.03,68.16980405,746.2, 
10,1,4,6,0.1334,16.9,59,3,1,6, , ,117.82,109.22,59.99,84,2.9,88.05795614,720.6, 
10,1,4,6,0.1334,16.9,62,2,1,6, , ,125.18,108.6,63.14,72,1.95,66.04773511,586.5, 
10,1,4,6,0.1334,16.9,85, ,0,6, , ,143.92,124.64,79.37,78,2.1,69.9840404,1306.6, 
10,1,4,6,0.1334,16.9,94,5,1,6, , ,126.85,116.85,59.55,73,1.8,61.92751306,750.3, 
10,1,4,6,0.1334,16.9,96,1,1,6, , ,130.57,117.84,92.98,66,1.7,59.07756452,774.8, 
